Density	Temperature	Pressure	Energy	Entropy	ParticleVelocity	LagWavespeed
+2.638004e+00	+2.981500e+02	+1.000000e-04	-3.274013e-06	-2.817609e-01	+0.000000e+00	+5.219523e+00	
+2.639324e+00	+2.983909e+02	+3.609261e-02	-4.109760e-06	-2.819840e-01	+2.612541e-03	+5.225416e+00	
+2.640644e+00	+2.986318e+02	+7.213094e-02	+2.052495e-06	-2.822003e-01	+5.225433e-03	+5.231385e+00	
+2.641965e+00	+2.988726e+02	+1.082161e-01	+1.520004e-05	-2.824097e-01	+7.838713e-03	+5.237434e+00	
+2.643285e+00	+2.991135e+02	+1.443490e-01	+3.532023e-05	-2.826123e-01	+1.045242e-02	+5.243564e+00	
+2.644605e+00	+2.993543e+02	+1.805310e-01	+6.240047e-05	-2.828081e-01	+1.306659e-02	+5.249778e+00	
+2.645926e+00	+2.995951e+02	+2.167632e-01	+9.642823e-05	-2.829970e-01	+1.568127e-02	+5.256079e+00	
+2.647246e+00	+2.998359e+02	+2.530467e-01	+1.373911e-04	-2.831791e-01	+1.829650e-02	+5.262469e+00	
+2.648566e+00	+3.000767e+02	+2.893827e-01	+1.852766e-04	-2.833545e-01	+2.091231e-02	+5.268952e+00	
+2.649887e+00	+3.003174e+02	+3.257727e-01	+2.400724e-04	-2.835230e-01	+2.352876e-02	+5.275530e+00	
+2.651207e+00	+3.005582e+02	+3.622179e-01	+3.017664e-04	-2.836847e-01	+2.614589e-02	+5.282206e+00	
+2.652527e+00	+3.007989e+02	+3.987196e-01	+3.703463e-04	-2.838397e-01	+2.876374e-02	+5.288984e+00	
+2.653848e+00	+3.010396e+02	+4.352794e-01	+4.457999e-04	-2.839878e-01	+3.138237e-02	+5.295867e+00	
+2.655168e+00	+3.012803e+02	+4.718985e-01	+5.281153e-04	-2.841292e-01	+3.400183e-02	+5.302859e+00	
+2.656488e+00	+3.015209e+02	+5.085787e-01	+6.172806e-04	-2.842639e-01	+3.662216e-02	+5.309963e+00	
+2.657809e+00	+3.017616e+02	+5.453214e-01	+7.132837e-04	-2.843917e-01	+3.924342e-02	+5.317184e+00	
+2.659129e+00	+3.020022e+02	+5.821282e-01	+8.161129e-04	-2.845129e-01	+4.186567e-02	+5.324524e+00	
+2.660449e+00	+3.022428e+02	+6.190009e-01	+9.257565e-04	-2.846273e-01	+4.448896e-02	+5.331988e+00	
+2.661770e+00	+3.024834e+02	+6.559412e-01	+1.042203e-03	-2.847349e-01	+4.711335e-02	+5.339581e+00	
+2.663090e+00	+3.027240e+02	+6.929509e-01	+1.165440e-03	-2.848359e-01	+4.973890e-02	+5.347307e+00	
+2.664410e+00	+3.029645e+02	+7.300318e-01	+1.295458e-03	-2.849301e-01	+5.236567e-02	+5.355155e+00	
+2.665731e+00	+3.032051e+02	+7.671795e-01	+1.432330e-03	-2.850175e-01	+5.499349e-02	+5.362240e+00	
+2.667051e+00	+3.034456e+02	+8.043886e-01	+1.576107e-03	-2.850982e-01	+5.762219e-02	+5.369329e+00	
+2.668371e+00	+3.036861e+02	+8.416592e-01	+1.726780e-03	-2.851721e-01	+6.025176e-02	+5.376421e+00	
+2.669692e+00	+3.039266e+02	+8.789914e-01	+1.884342e-03	-2.852391e-01	+6.288220e-02	+5.383517e+00	
+2.671012e+00	+3.041670e+02	+9.163851e-01	+2.048788e-03	-2.852994e-01	+6.551350e-02	+5.390616e+00	
+2.672332e+00	+3.044075e+02	+9.538404e-01	+2.220108e-03	-2.853529e-01	+6.814567e-02	+5.397718e+00	
+2.673653e+00	+3.046479e+02	+9.913573e-01	+2.398298e-03	-2.853996e-01	+7.077870e-02	+5.404824e+00	
+2.674973e+00	+3.048883e+02	+1.028936e+00	+2.583350e-03	-2.854395e-01	+7.341259e-02	+5.411934e+00	
+2.676293e+00	+3.051287e+02	+1.066576e+00	+2.775256e-03	-2.854726e-01	+7.604734e-02	+5.419047e+00	
+2.677613e+00	+3.053691e+02	+1.104278e+00	+2.974011e-03	-2.854990e-01	+7.868296e-02	+5.426164e+00	
+2.678934e+00	+3.056094e+02	+1.142042e+00	+3.179607e-03	-2.855186e-01	+8.131943e-02	+5.433284e+00	
+2.680254e+00	+3.058498e+02	+1.179868e+00	+3.392038e-03	-2.855314e-01	+8.395676e-02	+5.440407e+00	
+2.681574e+00	+3.060901e+02	+1.217755e+00	+3.611297e-03	-2.855375e-01	+8.659494e-02	+5.447535e+00	
+2.682895e+00	+3.063304e+02	+1.255705e+00	+3.837376e-03	-2.855368e-01	+8.923398e-02	+5.454665e+00	
+2.684215e+00	+3.065706e+02	+1.293716e+00	+4.070270e-03	-2.855294e-01	+9.187387e-02	+5.461800e+00	
+2.685535e+00	+3.068109e+02	+1.331790e+00	+4.309972e-03	-2.855152e-01	+9.451462e-02	+5.468938e+00	
+2.686856e+00	+3.070511e+02	+1.369925e+00	+4.556474e-03	-2.854942e-01	+9.715622e-02	+5.476079e+00	
+2.688176e+00	+3.072914e+02	+1.408122e+00	+4.809771e-03	-2.854666e-01	+9.979866e-02	+5.483224e+00	
+2.689496e+00	+3.075316e+02	+1.446382e+00	+5.069856e-03	-2.854322e-01	+1.024420e-01	+5.490373e+00	
+2.690817e+00	+3.077718e+02	+1.484704e+00	+5.336721e-03	-2.853910e-01	+1.050861e-01	+5.497525e+00	
+2.692137e+00	+3.080119e+02	+1.523088e+00	+5.610361e-03	-2.853432e-01	+1.077311e-01	+5.504681e+00	
+2.693457e+00	+3.082521e+02	+1.561534e+00	+5.890769e-03	-2.852886e-01	+1.103769e-01	+5.511841e+00	
+2.694778e+00	+3.084922e+02	+1.600042e+00	+6.177938e-03	-2.852272e-01	+1.130236e-01	+5.519004e+00	
+2.696098e+00	+3.087323e+02	+1.638613e+00	+6.471862e-03	-2.851592e-01	+1.156711e-01	+5.526171e+00	
+2.697418e+00	+3.089724e+02	+1.677246e+00	+6.772535e-03	-2.850844e-01	+1.183195e-01	+5.533341e+00	
+2.698739e+00	+3.092124e+02	+1.715941e+00	+7.079949e-03	-2.850030e-01	+1.209687e-01	+5.540516e+00	
+2.700059e+00	+3.094525e+02	+1.754699e+00	+7.394099e-03	-2.849148e-01	+1.236187e-01	+5.547693e+00	
+2.701379e+00	+3.096925e+02	+1.793519e+00	+7.714978e-03	-2.848199e-01	+1.262696e-01	+5.554875e+00	
